username,player_id,joined,is_active
aaronsaint,63649146,1577219588,1
adelantor,407001,1326144353,1
anarchic,11539682,1504426244,1
babtridge,2090751,1290613183,1
barumnomad,4839747,1302457012,1
ben_bon2010,251901895,1681296963,1
bigboi911xxx,74421244,1617815523,1
bigmac30,31041,1347021617,1
blunderabit,12040054,1584815306,1
bobbyedge,34380662,1589195153,1
bosh29,28822782,1549036298,1
bostonterrier12345,264872357,1682797061,1
brfc,1796693,1573473663,1
carolrho,272927235,1681199202,1
cfx3000,116221406,1616191032,1
chrisv25,1483775,1590908100,1
crip210,27547702,1505432850,1
cumbiebob,6612970,1357055012,1
delightfulliberty,260201477,1680692563,1
dexterkeen_was_here,239821293,1675621129,1
discobriscoe,168773699,1651850311,1
dowden,55667550,1663107285,1
dragan121,2314535,1290369007,1
dragonwest,22040320,1509288393,1
ellgary,86319442,1677191148,1
ettoremajorana,9277758,1379086683,1
evilgazebo,11394468,1609447191,1
exeterprez,67248828,1572300686,1
firegoatchess,22391316,1496497042,1
freddiesugden123,69807868,1588464618,1
g_darling,8102390,1393623937,1
glbody,75187466,1586422875,1
grjohnson42,51463072,1616269669,1
harry001,1576878,1665826934,1
harryschessgame,6291912,1347190194,1
hsr007,156607345,1681651286,1
j_pierpoint,6117572,1546851537,1
jim78,1408494,1655835557,1
jimjamjooojitsu,171434827,1668260627,1
kashers,11909538,1586382049,1
katiewoo,60995104,1567010981,1
killersod,108716792,1680112707,1
kjlyne,32057370,1544028907,1
ladyofthe_knight,3344421,1437381652,1
merrylaughter,11784766,1574603146,1
mikej340,101200136,1631316616,1
mjblackwell,19036006,1417039147,1
mrcrazymove,4953644,1350840870,1
nelsx,40419622,1636195766,1
nitemuse,18996510,1588840680,1
pfer999,3925736,1301847145,1
philabbott,2944424,1514630382,1
pickle47,2007622,1290346834,1
psyrr,51247284,1655076310,1
quirinius,13710540,1393081592,1
redretr0,52424682,1622911456,1
renovich,2017897,1290425476,1
richmarsh,53205354,1627250127,1
robwilby,12948944,1666855386,1
rocklobster66,6621844,1679214116,1
rodney89,9445010,1359804714,1
sahail43,22300004,1490642856,1
simon-b,2903012,1359149435,1
sneekg,3781828,1290294584,1
socialapricot,68673392,1577187766,1
splonds,2184476,1290539695,1
therennes,4503958,1347105064,1
tiford,6227717,1417352798,1
tlfw,250716519,1681653324,1
vsrr8,12238468,1481582987,1
wallace_wang,35869808,1561106819,1
willy575,5236029,1350063461,1
wolfwilderwood,148030149,1627041439,1
zatichu,73270584,1601829868,1
